MAC Lip Care - Lip Pencil - Currant 1.45g/0ml,MAC,9999999999999,Includes: Lip Pencil - Currant 1.45g/0ml
Mac Dazzleglass Lip Gloss - Funtabulous Unboxed,MAC,0773602151110,MAC Hello Kitty Lip Gloss Limited Edition - Shimmer Purple
Mac CremeSheen Glass Fashion Scoop,MAC,0773602199211,Shade: FASHION SCOOP - Clear pink.
MAC Lip Care - Lipstick - No. 250 Film Noir Satin; 3g/5ml,MAC,9999075674562,Includes: Lipstick - No. 250 Film Noir Satin; Premium price due to scarcity 3g/5ml
MAC Lip Care - Lip Pencil - Beet 1.45g/0ml,MAC,9999999999999,Includes: Lip Pencil - Beet 1.45g/0ml
MAC In Control Lip Pencil,MAC,0799209315311,In Control is described as a light pink  kind of like Soar but long wearing formula.
MAC Lip Care - Lipstick - Honeylove 3g/5ml,MAC,0883311532046,Includes: Lipstick - Honeylove 3g/5ml
MAC Lip Care - Lip Pencil - Oak 1.45g/0ml,MAC,9999999999999,Includes: Lip Pencil - Oak 1.45g/0ml
MAC Lustre Lipstick - See Sheer,MAC,9999999999999,MAC Lustre Lipstick - See Sheer 5ml : Grapefruit pink (Lustre). Colour plus texture for the lips. Stands out on the runway. Simmers on the street! What made M·A·C famous.
MAC Other - Lip Pencil - Chicory 1.45g/0ml,MAC,9999999999999,Includes: Lip Pencil - Chicory 1.45g/0ml
MAC Lip Care - Lip Pencil - Vino 1.45g/0ml,MAC,9999999999999,Includes: Lip Pencil - Vino 1.45g/0ml
