26,NYX Soft Matte Lip Cream # SMLC21 - TRANSYLVANIA,NYX,ลิปแมตต์เนื้อครีมที่ได้รับความนิยมสูงสุด! เนื้อลิปนุ่มละมุนและให้ความชุ่มชื่นสู่ริมฝีปากมากกว่าลิปแมตต์อื่นๆ,http://www.konvy.com/static/team/2016/1110/14787541316197_280x280.jpg,lipstick
27,NYX Soft Matte Lip Cream # SMLC18 - PRAGUE,NYX,ลิปแมตต์เนื้อครีมที่ได้รับความนิยมสูงสุด! เนื้อลิปนุ่มละมุนและให้ความชุ่มชื่นสู่ริมฝีปากมากกว่าลิปแมตต์อื่นๆ,http://www.konvy.com/static/team/2016/1110/14787538545563_280x280.jpg,lipstick
28,NYX Liquid Suede Cream Lipstick # LSCL12 - VINTAGE,NYX,ลิปสติกเนื้อครีมกำมะหยี่เรียบลื่น เมื่อแห้งจะกลายเป็นเนื้อแมตต์ที่กันน้ำและติดทนยาวนาน มอบสีสันที่โดดเด่นมีชีวิตชีวาทุกมุมมอง,http://www.konvy.com/static/team/2016/1110/14787607895312_280x280.jpg,lipstick
29,NYX Butter Gloss # BLG07 - TIRAMISU,NYX,ลิปกลอสเนื้อครีมเนียนเรียบ รสชาติหวานละมุนดุจคุกกี้น้ำตาล ช่วยให้ริมฝีปากดูหวานฉ่ำอวบอิ่มโดยไม่เหนียวเหนอะหนะ,http://www.konvy.com/static/team/2016/1109/14786775135838_280x280.jpg,lipstick
30,NYX Soft Matte Lip Cream # SMLC13 - SYDNEY,NYX,ลิปแมตต์เนื้อครีมที่ได้รับความนิยมสูงสุด! เนื้อลิปนุ่มละมุนและให้ความชุ่มชื่นสู่ริมฝีปากมากกว่าลิปแมตต์อื่นๆ,http://www.konvy.com/static/team/2016/1110/14787537479789_280x280.jpg,lipstick
31,NYX Soft Matte Lip Cream # SMLC16 - CAIRO,NYX,ลิปแมตต์เนื้อครีมที่ได้รับความนิยมสูงสุด! เนื้อลิปนุ่มละมุนและให้ความชุ่มชื่นสู่ริมฝีปากมากกว่าลิปแมตต์อื่นๆ,http://www.konvy.com/static/team/2016/1110/14787538093421_280x280.jpg,lipstick
32,NYX Matte Lipstick # MLS11 - TEA ROSE,NYX,ลิปสติกเนื้อแมตต์เรียบลื่น อัดแน่นทุกอณูสีที่ชุ่มฉ่ำและติดทนยาวนาน,http://www.konvy.com/static/team/2016/1110/14787526722120_280x280.jpg,lipstick
33,NYX Soft Matte Lip Cream # SMLC24 - PARIS,NYX,ลิปแมตต์เนื้อครีมที่ได้รับความนิยมสูงสุด! เนื้อลิปนุ่มละมุนและให้ความชุ่มชื่นสู่ริมฝีปากมากกว่าลิปแมตต์อื่นๆ,http://www.konvy.com/static/team/2016/1110/14787598698063_280x280.jpg,lipstick
34,NYX Matte Lipstick # MLS32 - SIREN,NYX,ลิปสติกเนื้อแมตต์เรียบลื่น อัดแน่นทุกอณูสีที่ชุ่มฉ่ำและติดทนยาวนาน,http://www.konvy.com/static/team/2016/1110/14787533059844_280x280.jpg,lipstick
35,NYX Cosmic Metals Lip Cream # CMLC01 - GALACTIC,NYX,ลิปกลอสเฉดสีจัดจ้าน เนื้อครีมเรียบเนียนมาพร้อมกับเมทาลิคประกายมันวาว เพิ่มความหลากหลายให้ริมฝีปากแวววาวระยิบระยับดูมีมิติ,http://www.konvy.com/static/team/2016/1110/14787620097488_280x280.jpg,lipstick
36,NYX Soft Matte Lip Cream # SMLC29 - VANCOUVER,NYX,ลิปแมตต์เนื้อครีมที่ได้รับความนิยมสูงสุด! เนื้อลิปนุ่มละมุนและให้ความชุ่มชื่นสู่ริมฝีปากมากกว่าลิปแมตต์อื่นๆ,http://www.konvy.com/static/team/2016/1110/14787601237925_280x280.jpg,lipstick
37,NYX Liquid Suede Cream Lipstick # LSCL13 - RESPECT THE PINK,NYX,ลิปสติกเนื้อครีมกำมะหยี่เรียบลื่น เมื่อแห้งจะกลายเป็นเนื้อแมตต์ที่กันน้ำและติดทนยาวนาน มอบสีสันที่โดดเด่นมีชีวิตชีวาทุกมุมมอง,http://www.konvy.com/static/team/2016/1110/14787611505249_280x280.jpg,lipstick
38,NYX Butter Gloss # BLG10 - CHEER CHEESE CAKE,NYX,ลิปกลอสเนื้อครีมเนียนเรียบ รสชาติหวานละมุนดุจคุกกี้น้ำตาล ช่วยให้ริมฝีปากดูหวานฉ่ำอวบอิ่มโดยไม่เหนียวเหนอะหนะ,http://www.konvy.com/static/team/2016/1109/14786775639573_280x280.jpg,lipstick
39,NYX Xtreme Lip Cream # XLC01 - DOLLY GIRL,NYX,ลิปจิ้มจุ่มเนื้อกำมะหยี่นุ่มเนียน ให้สัมผัสแวววาวแบบลิปกลอสแต่สีสวยเด่นคมชัดเหมือนลิปสติก,http://www.konvy.com/static/team/2016/1110/14787585246494_280x280.jpg,lipstick
40,NYX Soft Matte Lip Cream # SMLC31 - MOSCOW,NYX,ลิปแมตต์เนื้อครีมที่ได้รับความนิยมสูงสุด! เนื้อลิปนุ่มละมุนและให้ความชุ่มชื่นสู่ริมฝีปากมากกว่าลิปแมตต์อื่นๆ,http://www.konvy.com/static/team/2016/1110/14787601763332_280x280.jpg,lipstick
41,NYX Liquid Suede Cream Lipstick # LSCL05 - ORANGE COUNTY,NYX,ลิปสติกเนื้อครีมกำมะหยี่เรียบลื่น เมื่อแห้งจะกลายเป็นเนื้อแมตต์ที่กันน้ำและติดทนยาวนาน มอบสีสันที่โดดเด่นมีชีวิตชีวาทุกมุมมอง,http://www.konvy.com/static/team/2016/1110/14787605737605_280x280.jpg,lipstick
42,NYX Liquid Suede Cream Lipstick # LSCL16 - LITTLE DENIM DRESS,NYX,ลิปสติกเนื้อครีมกำมะหยี่เรียบลื่น เมื่อแห้งจะกลายเป็นเนื้อแมตต์ที่กันน้ำและติดทนยาวนาน มอบสีสันที่โดดเด่นมีชีวิตชีวาทุกมุมมอง,http://www.konvy.com/static/team/2016/1110/14787612316137_280x280.jpg,lipstick
43,NYX Soft Matte Lip Cream # SMLC07 - ADDIS ABABA,NYX,ลิปแมตต์เนื้อครีมที่ได้รับความนิยมสูงสุด! เนื้อลิปนุ่มละมุนและให้ความชุ่มชื่นสู่ริมฝีปากมากกว่าลิปแมตต์อื่นๆ,http://www.konvy.com/static/team/2016/1110/14787536076538_280x280.jpg,lipstick
44,NYX Lip Lingerie # LIPLI10 - TEDDY,NYX,ลิควิดลิปสติกที่ได้รับความนิยมไปทั่วโลก! เมื่อทาจะเซ็ตตัวเป็นลิปแมตต์ที่ติดทนยาวนานตลอดวัน โดดเด่นด้วยโทนที่นู้ดอบอุ่นคลาสสิค,http://www.konvy.com/static/team/2016/1110/14787610617102_280x280.jpg,lipstick
45,NYX Matte Lipstick # MLS15 - WHIPPED CAVIAR,NYX,ลิปสติกเนื้อแมตต์เรียบลื่น อัดแน่นทุกอณูสีที่ชุ่มฉ่ำและติดทนยาวนาน,http://www.konvy.com/static/team/2016/1110/14787527683964_280x280.jpg,lipstick
46,NYX Xtreme Lip Cream # XLC10 - NATURAL,NYX,ลิปจิ้มจุ่มเนื้อกำมะหยี่นุ่มเนียน ให้สัมผัสแวววาวแบบลิปกลอสแต่สีสวยเด่นคมชัดเหมือนลิปสติก,http://www.konvy.com/static/team/2016/1110/14787591014164_280x280.jpg,lipstick
47,NYX Liquid Suede Cream Lipstick # LSCL17 - JET SET,NYX,ลิปสติกเนื้อครีมกำมะหยี่เรียบลื่น เมื่อแห้งจะกลายเป็นเนื้อแมตต์ที่กันน้ำและติดทนยาวนาน มอบสีสันที่โดดเด่นมีชีวิตชีวาทุกมุมมอง,http://www.konvy.com/static/team/2016/1110/14787612544506_280x280.jpg,lipstick
48,NYX Cosmic Metals Lip Cream # CMLC03 - OUT OF WORLD,NYX,ลิปกลอสเฉดสีจัดจ้าน เนื้อครีมเรียบเนียนมาพร้อมกับเมทาลิคประกายมันวาว เพิ่มความหลากหลายให้ริมฝีปากแวววาวระยิบระยับดูมีมิติ,http://www.konvy.com/static/team/2016/1110/14787620584882_280x280.jpg,lipstick
