181,MAC Satin Lipstick Rouge A Levres 3g #Brave,MAC,ลิปสติกเนื้อซาตินเนียนนุ่ม ให้ริมฝีปากดูสวยอวบอิ่ม เรียบเนียนอย่างเป็นธรรมชาติ พร้อมเม็ดสีสวยสดใส เปล่งประกายติดทนนาน,lipstick
182,MAC Matte Lipstick 3g #M-A-C Red,MAC,ลิปสติกคุณภาพดีจาก M.A.C เนื้อครีมเนียนนุ่มแต่ให้ลุคแมตต์ ไม่เป็นคราบ ไม่ตกร่อง เม็ดสีสวยคมชัด สีสันสวยงามติดทนนานตลอดวัน,lipstick
183,MAC Retro Matte Lipstick #Dangerous (3g),MAC,ลิปสติกคุณภาพดีจาก M.A.C เนื้อครีมเนียนนุ่มแต่ให้ลุคแมต ไม่เป็นคราบ ไม่ตกร่อง เม็ดสีสวยคมชัด สีสันสวยติดทนยาวนานตลอดวัน,lipstick
184,MAC Satin Lipstick Rouge A Levres 3g #Steady Going,MAC,ลิปสติกเนื้อซาตินเนียนนุ่ม ให้ริมฝีปากดูสวยอวบอิ่ม เรียบเนียนอย่างเป็นธรรมชาติ พร้อมเม็ดสีสวยสดใส เปล่งประกายติดทนนาน,lipstick
185,MAC Cremesheen Lipstick #Sweet&Sour,MAC,; ลิปสติกคุณภาพดีจาก M.A.C เนื้อครีมเนียนนุ่ม ให้ริมฝีปากดูอวบอิ่ม แวววาวอย่างเป็นธรรมชาติ พร้อมเม็ดสีสวยสดใส ให้ริมฝีปากดูเปล่งประกายสวยติดทนนาน,lipstick
186,MAC Lustre Lipstick #Razzledazzler,MAC,ลิปสติกเนื้อครีมเนียนนุ่ม โดดเด่นในเรื่องของสีสันและเท็กซ์เจอร์ที่หลากหลาย สะท้อนความงดงามที่แท้จริง คุณภาพดีเยี่ยมครองใจสาวๆ มาแล้วทั่วโลก,lipstick
187,MAC Matte Lipstick 3g #Pink Plaid,MAC,ลิปสติกคุณภาพดีจาก M.A.C เนื้อครีมเนียนนุ่มแต่ให้ลุคแมตต์ ไม่เป็นคราบ ไม่ตกร่อง เม็ดสีสวยคมชัด สีสันสวยงามติดทนนานตลอดวัน,lipstick
188,MAC Frost Lipstick #Costa Chic,MAC,ลิปสติกเนื้อครีมเนียนนุ่ม โดดเด่นในเรื่องของสีสันและเท็กซ์เจอร์ที่หลากหลาย สะท้อนความงดงามที่แท้จริง คุณภาพดีเยี่ยมครองใจสาวๆ มาแล้วทั่วโลก,lipstick
189,MAC Casual Colour Lip & Cheek Colour #Out For Fun,MAC,เมคอัพเนื้อครีมบางเบา หนึ่งเดียวที่แต่งแต้มได้ทั้งพวงแก้มและริมฝีปาก เพิ่มความโดดเด่น ให้พวงแก้มและริมฝีปากดูสวยระเรื่ออย่างเป็นธรรมชาติ,lipstick
190,MAC Cremesheen Lipstick #Creme D Nude 3g,MAC,ลิปสติกเนื้อครีมเนียนนุ่ม โดดเด่นในเรื่องของสีสันและเท็กซ์เจอร์ที่หลากหลาย สะท้อนความงดงามที่แท้จริง คุณภาพดีเยี่ยมครองใจสาวๆ มาแล้วทั่วโลก,lipstick
191,MAC Casual Colour Lip & Cheek Colour #Lazy Sunday,MAC,เมคอัพเนื้อครีมบางเบา หนึ่งเดียวที่แต่งแต้มได้ทั้งพวงแก้มและริมฝีปาก เพิ่มความโดดเด่น ให้พวงแก้มและริมฝีปากดูสวยระเรื่ออย่างเป็นธรรมชาติ,lipstick
192,MAC Sheen Supreme Lipstick New Temptation #Pleasure Fruit,MAC,ลิปสติกสุดหรู มอบลุคริมฝีปากเนียนนุ่มชุ่มชื่นดูเงางาม ด้วยการผสมผสานคุณประโยชน์ระหว่างลิปสติกและลิปกลอสเข้าด้วยกัน,lipstick
193,MAC Sheen Supreme Lipstick New Temptation #Sweet Grenadine,MAC,ลิปสติกสุดหรู มอบลุคริมฝีปากเนียนนุ่มชุ่มชื่นดูเงางาม ด้วยการผสมผสานคุณประโยชน์ระหว่างลิปสติกและลิปกลอสเข้าด้วยกัน,lipstick
